id;customer_name;order_date;status
1;overriding;2020-06-16;Sports
2;Oregon copying;2020-06-17;lime
3;Awesome;2020-06-16;Money Market Account Wooden Small
4;Music Soft Holy See (Vatican City State);2020-06-16;sexy Functionality orange
5;input;2020-06-16;bricks-and-clicks Money Market Account
6;Cheese;2020-06-16;SQL Baby lime
7;Texas;2020-06-16;Customer Intranet portals
8;Rustic Fresh Pants Security Inverse;2020-06-16;Industrial Fantastic
9;Future harness Cambridgeshire;2020-06-16;Borders
10;Borders;2020-06-16;Squares indigo
